Bug编号,Source数据库类型,Source数据库版本,Sink数据库类型,Sink数据库版本,CDC工具类型,CDC受影响版本,CDC修复版本,依赖软件,依赖软件版本,,,软件情况,故障表现,首次报告时间,确认修复时间,修复 commit hash,tool_created_at,tool_updated_at,tool_closed_at,tool_merged_at,tool_merge_commit_hash,tool_labels,tool_files_changed,tool_total_comments_count,tool_total_chars,tool_total_words,tool_total_bytes,issue_comments_count,issue_comments_chars,issue_comments_words,issue_comments_bytes,review_comments_count,review_comments_chars,review_comments_words,review_comments_bytes,pr_detail_title_chars,pr_detail_body_chars,pr_detail_comments_count,pr_detail_review_comments_count,review_blocs_count,review_blocs_chars,review_blocs_words,review_blocs_bytes
FLINK-34762,MySQL,5.7.0,,,Flink CDC,2.3.0,,Flink,1.13.6,,,潜在故障,,2022/12/14 17:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34763,Oracle,19c,,,Flink CDC,2.4.1,,Flink,1.16.0,,,逻辑故障（待确认）,数据缺失,2022/12/21 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34764,MariaDB,10.0.24,,,Flink CDC,2.2.1,,Flink,1.13.6,,,崩溃故障,,2023/1/3 16:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34767,MySQL,5.7.37,,,Flink CDC,2.3.0,,Flink,1.14.2,,,,,2023/1/11 19:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34768,TiDB,5.3.1,,,Flink CDC,2.4.1,,,,,,崩溃故障,,2023/1/12 14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34772,MySQL,8.0.23,,,Flink CDC,2.3.0,,Flink,1.14.3,,,逻辑故障,数据变更异常,2023/2/10 18:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34773,MySQL,8.0.23,,,Flink CDC,2.3.0,,Flink,1.16.0,,,,SQL execution hang,2023/2/20 17:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34775,Oracle,11g/12c,,,Flink CDC,2.3.0,,Flink,1.16.0,,,逻辑故障（待确认）,数据缺失,2023/2/24 14:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34776,AWS RDS,,,,Flink CDC,2.3.0,,Flink,1.14.6,,,崩溃故障,,2023/2/27 15:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34777,MariaDB,10.10.2,,,Flink CDC,2.3.0,,Flink,1.6.1,,,崩溃故障,,2023/3/3 10:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34780,Oracle,11g,,,Flink CDC,2.1.1,,Flink,1.13.5,,,逻辑故障,数据缺失/数据变更异常,2023/3/10 17:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34781,Oracle,11g,,,Flink CDC,2.3.0,,Flink,1.15.3,,,性能故障,,2023/3/15 15:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34783,TiDB,5.4.3/6.1.3,,,Flink CDC,2.2.1/2.3.0/2.4.0,,Flink,1.13.6,,,逻辑故障,数据变更异常,2023/3/22 15:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34784,MySQL,5.7.0/8.0.0,,,Flink CDC,2.2.0/2.3.0/3.0.1,,Flink,1.13.6/1.14/1.18,,,逻辑故障,数据变更异常,2023/4/7 18:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34786,TiDB,6.5.1,,,Flink CDC,2.3.0,,Flink,1.14.5,,,崩溃故障,,2023/5/5 09:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34788,Oracle,19c,,,Flink CDC,2.3.0,,Flink,1.6.0,,,,,2023/5/8 17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34789,MySQL,5.7.0/8.0.0,,,Flink CDC,2.0.0/2.1.0/2.3.0/2.4.0,,,,,,逻辑故障（待复现）,结构变化,2023/5/18 11:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34790,MySQL,5.7.41,,,Flink CDC,2.3.0,,Flink,1.14.5,,,性能故障,,2023/5/29 17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34792,,,,,Flink CDC,2.3.0/2.4.0,,Flink,1.13.6/1.14.4/1.15.2/1.16.0/1.17.0,,,崩溃故障,,2023/5/30 15:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34794,MySQL,8.0.27,,,Flink CDC,2.3.0,,,,,,,,2023/6/7 11:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34796,MySQL,8.0.0,,,Flink CDC,2.2.1,,Flink,1.16.0,,,潜在故障（待确认）,,2023/6/10 22:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34797,PostgreSQL,,,,Flink CDC,2.3.0,,Flink,1.17.1,,,潜在故障,,2023/6/26 17:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34798,MySQL,8.0.0,,,Flink CDC,2.4.0,,Flink,1.16.0,,,性能故障（待确认）,,2023/7/11 11:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34799,SQL Server,2017,,,Flink CDC,2.4.0,,Flink,1.16.0,,,逻辑故障,数据变更,2023/7/11 12:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34800,MySQL,8.0.31,,,Flink CDC,2.4.0,,Flink,1.16.1,,,崩溃故障,,2023/7/19 14:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34801,SQL Server,2014,,,Flink CDC,2.4.1,2.4.1,Flink,1.17.0,,,崩溃故障,,2023/8/1 13:43,2023/10/16 05:15,6f9a06448604c016bcf007b10776d6378279f530,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34802,MySQL,5.7.31,Paimon,,Flink CDC,2.4.1,,Flink,1.15.2,,,逻辑故障,结构变化,2023/8/3 10:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34804,MySQL,5.7.23,,,Flink CDC,2.4.1,,Flink,1.17.0,,,潜在故障（僵尸进程）,,2023/8/7 17:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34805,PostgreSQL,13.2,,,Flink CDC,2.4.1,,Flink,1.14.6,,,崩溃故障,,2023/8/8 20:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34808,MySQL,8.0.32,,,Flink CDC,2.3.0,,Flink,1.16.0,,,崩溃故障（待复现）,,2023/8/29 18:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34811,SQL Server,2016,,,Flink CDC,2.5.0,,Flink,1.13.6,,,潜在故障（待确认）,,2023/9/6 17:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34812,Oracle,11g,,,Flink CDC,2.4.1,,Flink,1.17.0,,,逻辑故障,数据变更,2023/9/11 20:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34813,TiDB,5.4.3,,,Flink CDC,2.4.1,,Flink,1.17.1,,,性能故障（待确认）,,2023/9/8 17:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34814,MySQL,5.7.0,,,Flink CDC,2.3.0,,Flink,1.14.0,,,崩溃故障,,2023/9/14 11:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34815,SQL Server,2016,,,Flink CDC,2.4.1,,Flink,1.17.1,,,性能故障（待确认）,,2023/9/19 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
