Bug编号,Source数据库类型,Source数据库版本,Sink数据库类型,Sink数据库版本,CDC工具类型,CDC受影响版本,CDC修复版本,依赖软件,依赖软件版本,,,软件情况,故障表现,首次报告时间,确认修复时间,修复 commit hash,tool_created_at,tool_updated_at,tool_closed_at,tool_merged_at,tool_merge_commit_hash,tool_labels,tool_files_changed,tool_total_comments_count,tool_total_chars,tool_total_words,tool_total_bytes,issue_comments_count,issue_comments_chars,issue_comments_words,issue_comments_bytes,review_comments_count,review_comments_chars,review_comments_words,review_comments_bytes,pr_detail_title_chars,pr_detail_body_chars,pr_detail_comments_count,pr_detail_review_comments_count,review_blocs_count,review_blocs_chars,review_blocs_words,review_blocs_bytes
FLINK-35540,MySQL,5.7/8.0,,,Flink CDC,3.1.0,3.1.1/3.2.0,Flink,1.18.1,,,逻辑故障（待复现）,结构变化,2024/6/6 08:46,2024/6/11 11:11,c958daf8ab417d16fc7fc0b59f341e8f9cf372e7,2024-06-06T11:05:13Z,2024-06-11T11:11:02Z,2024-06-11T11:11:01Z,2024-06-11T11:11:01Z,c958daf8ab417d16fc7fc0b59f341e8f9cf372e7,common;mysql-pipeline-connector,flink-cdc-common/src/main/java/org/apache/flink/cdc/common/schema/Selectors.java;flink-cdc-common/src/main/java/org/apache/flink/cdc/common/utils/Predicates.java;flink-cdc-common/src/test/java/org/apache/flink/cdc/common/schema/SelectorsTest.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MySqlDataSourceFactoryTest.java,6,908,143,908,0,0,0,0,3,678,105,678,109,49,0,3,3,230,38,230
FLINK-35545,,,,,Flink CDC,3.1.0,3.1.1/3.2.0,,,,,,,2024/6/7 04:15,2024/6/7 05:01,4efb1d78ca778abeae142facfa99440f22a88b25,2024-06-07T05:03:42Z,2024-06-07T11:11:06Z,2024-06-07T11:11:06Z,2024-06-07T11:11:06Z,7d35f3c1d387f9595707a75e16f7e80767d3f20a,docs,docs/config.toml;docs/content.zh/docs/connectors/flink-sources/db2-cdc.md;docs/content.zh/docs/connectors/flink-sources/mysql-cdc.md;docs/content.zh/docs/connectors/flink-sources/oracle-cdc.md;docs/content.zh/docs/connectors/flink-sources/overview.md;docs/content.zh/docs/connectors/flink-sources/postgres-cdc.md;docs/content.zh/docs/connectors/flink-sources/sqlserver-cdc.md;docs/content.zh/docs/connectors/pipeline-connectors/mysql.md;docs/content/docs/connectors/flink-sources/db2-cdc.md;docs/content/docs/connectors/flink-sources/mysql-cdc.md;docs/content/docs/connectors/flink-sources/oracle-cdc.md;docs/content/docs/connectors/flink-sources/overview.md;docs/content/docs/connectors/flink-sources/postgres-cdc.md;docs/content/docs/connectors/flink-sources/sqlserver-cdc.md;docs/content/docs/connectors/pipeline-connectors/mysql.md,1,4,1,4,0,0,0,0,0,0,0,0,76,0,0,0,1,4,1,4
FLINK-35567,,,,,Flink CDC,3.1.1,,Flink,1.18.1,,,崩溃故障,,2024/6/11 10:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35572,DB2,5.7/8.0,,,Flink CDC,3.1.0,,Flink,1.18.1,,,崩溃故障,,2024/6/12 06:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35600,MySQL,,,,Flink CDC,3.1.0,3.3.0,,,,,逻辑故障（待复现）,数据变更/数据重复,2024/6/14 05:35,2025/1/16 11:48,2fa215e5c45818ecc7f5d73783dfb61c1f0e4828,2024-06-14T05:35:40Z,2025-04-23T01:53:32Z,2025-01-16T11:48:34Z,2025-01-16T11:48:34Z,2fa215e5c45818ecc7f5d73783dfb61c1f0e4828,mysql-cdc-connector;reviewed;Stale;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/debezium/task/MySqlSnapshotSplitReadTask.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/offset/BinlogOffset.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/debezium/reader/BinlogSplitReaderTest.java,13,2423,285,2423,9,1262,166,1262,2,1087,107,1087,54,49,9,2,2,74,12,74
FLINK-35651,,,,,Flink CDC,3.1.0,,Flink,1.18.1,,,崩溃故障,,2024/6/20 01:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35668,MySQL,8.0.33,StarRocks,3.2.7,Flink CDC,3.1.0,,Flink,1.18.1,,,逻辑故障,数据丢失,2024/6/21 12:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35674,MySQL,5.7/8.0,,,Flink CDC,3.1.1,3.2.0,Flink,1.18.1,,,崩溃故障,,2024/6/24 03:28,2024/8/6 07:49,986f37b30750da0a84e2da8d0ff9554702dacc01,2024-06-24T07:00:11Z,2024-08-06T07:49:51Z,2024-08-06T07:49:51Z,2024-08-06T07:49:51Z,986f37b30750da0a84e2da8d0ff9554702dacc01,mysql-cdc-connector;reviewed;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/debezium/DebeziumUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/debezium/task/context/StatefulTaskContext.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/offset/BinlogOffsetUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/debezium/reader/BinlogSplitReaderTest.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/source/SpecificStartingOffsetITCase.java,48,15172,2060,15192,15,4275,694,4285,30,10767,1346,10777,96,701,15,30,3,130,20,130
FLINK-35700,,,,,Flink CDC,3.1.1,3.2.0,Flink,1.18.1,,,潜在故障,,2024/6/26 02:16,2024/6/26 04:14,0723009a697565c038991e9ff1e73f3329be8991,2024-06-26T02:21:27Z,2024-06-26T04:14:24Z,2024-06-26T04:14:24Z,2024-06-26T04:14:24Z,0723009a697565c038991e9ff1e73f3329be8991,composer,flink-cdc-composer/src/main/java/org/apache/flink/cdc/composer/definition/PipelineDef.java;flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/definition/PipelineValidationTest.java,7,540,62,542,3,117,15,119,3,421,46,421,57,365,3,3,1,2,1,2
FLINK-35701,SQL Server,,,,Flink CDC,,,,,,,,,2024/6/26 04:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35715,MySQL,5.7/8.0,,,Flink CDC,3.1.1,3.2.0,Flink,1.18.1,,,逻辑故障,结构变化,2024/6/27 11:55,2024/8/9 06:28,07446d1f9de23b6d5e7b50de1b00ba901ffd31db,2024-08-06T09:28:49Z,2024-08-09T06:28:44Z,2024-08-09T06:28:43Z,2024-08-09T06:28:43Z,07446d1f9de23b6d5e7b50de1b00ba901ffd31db,common;runtime;mysql-pipeline-connector;reviewed;approved,flink-cdc-common/src/main/java/org/apache/flink/cdc/common/data/binary/BinaryRecordData.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MySqlFullTypesITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MySqlMetadataAccessorITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/resources/ddl/column_type_test.sql;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/resources/ddl/column_type_test_mysql8.sql;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/serializer/data/writer/AbstractBinaryWriter.java,3,1346,179,1346,2,1277,168,1277,0,0,0,0,94,122,2,0,1,69,11,69
FLINK-35743,,,,,Flink CDC,3.1.1,3.2.0,Flink,1.18.1,,,潜在故障（待复现）,,2024/7/2 13:33,2024/8/6 16:49,7ca11359d7969cd7488fc546dd04f1bbfb8d6674,2024-07-02T13:39:39Z,2024-08-06T16:49:22Z,2024-08-06T16:49:22Z,2024-08-06T16:49:22Z,7ca11359d7969cd7488fc546dd04f1bbfb8d6674,values-pipeline-connector;composer;common;runtime;e2e-tests;reviewed;approved,flink-cdc-common/src/main/java/org/apache/flink/cdc/common/utils/DateTimeUtils.java;flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineComposerITCase.java;flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineTransformITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-values/src/main/java/org/apache/flink/cdc/connectors/values/ValuesDatabase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/TransformE2eITCase.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/functions/SystemFunctionUtils.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/parser/JaninoCompiler.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/parser/metadata/TransformSqlOperatorTable.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/transform/TransformDataOperatorTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/parser/JaninoCompilerTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/parser/TransformParserTest.java,34,9391,899,9397,14,7587,623,7587,15,1365,208,1371,98,77,14,15,5,439,68,439
FLINK-35774,,,,,Flink CDC,3.1.1,3.2.0,Flink,1.18.1,,,逻辑故障（待复现）,结构变化,2024/7/6 03:03,2024/8/8 13:01,81d916fc73fa2a3800202bc6eebe9d8274e4a258,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35783,,,,,Flink CDC,3.1.1,,Flink,1.19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35802,MySQL,,,,Flink CDC,3.1.0,3.3.0,Flink,1.18.1,,,逻辑故障（待复现）,数据丢失/死锁,2024/7/10 05:50,2025/1/16 11:43,afd4a74c0a3dc4f6353a37e875023a7f849a634e,2024-07-10T06:34:00Z,2025-01-20T18:17:57Z,2025-01-16T11:43:25Z,2025-01-16T11:43:25Z,afd4a74c0a3dc4f6353a37e875023a7f849a634e,mysql-cdc-connector;reviewed;Stale;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/debezium/reader/BinlogSplitReader.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/debezium/reader/SnapshotSplitReader.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/debezium/task/context/StatefulTaskContext.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/reader/MySqlSplitReader.java,14,1805,251,1805,7,1345,208,1345,6,456,42,456,109,71,7,6,1,4,1,4
FLINK-35807,MySQL,5.7,StarRocks,,Flink CDC,3.1.1,,Flink,1.18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35813,,,,,Flink CDC,3.1.1,3.2.0,Flink,1.18.1,,,崩溃故障,,2024/7/11 08:29,2024/8/6 09:49,44dafe33bd8c3cea15414b30eef4927e32bc8f37,2024-07-11T08:39:05Z,2024-08-06T09:49:16Z,2024-08-06T09:49:16Z,2024-08-06T09:49:16Z,44dafe33bd8c3cea15414b30eef4927e32bc8f37,runtime;reviewed;approved,flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/transform/TransformSchemaOperator.java,2,31,6,31,1,27,5,27,0,0,0,0,82,2553,1,0,1,4,1,4
FLINK-35834,,,Doris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35852,MySQL,5.7.43,Doris,2.0.6,Flink CDC,3.1.1,,,,,,逻辑故障（待复现）,数据变更,2024/7/16 06:44,2024/8/8 13:01,81d916fc73fa2a3800202bc6eebe9d8274e4a258,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35859,,,,,Flink CDC,3.1.1,3.2.0,Flink,1.18.1,,,崩溃故障,,2024/7/17 09:28,2024/8/9 07:38,4bf5a395a5a8f83a5e309e5e985ad7c839b953db,2024-08-08T08:14:43Z,2024-08-09T07:43:12Z,2024-08-09T07:38:58Z,2024-08-09T07:38:58Z,4bf5a395a5a8f83a5e309e5e985ad7c839b953db,mysql-cdc-connector;base;reviewed;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/assigner/SnapshotSplitAssigner.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlSnapshotSplitAssigner.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlSnapshotSplitAssignerTest.java,6,209,37,209,1,72,13,72,4,96,18,96,122,363,1,4,1,41,6,41
FLINK-35865,SQL Server,,,,Flink CDC,3.1.1,3.2.0,Flink,1.18.1,,,崩溃故障,,2024/7/18 11:29,2024/7/23 02:46,c5f391cf6a032333f398038cf96b11a0354bf3c3,2024-07-18T11:42:12Z,2024-07-23T02:46:18Z,2024-07-23T02:46:18Z,2024-07-23T02:46:18Z,c5f391cf6a032333f398038cf96b11a0354bf3c3,composer;base;oracle-cdc-connector;reviewed;approved,flink-cdc-composer/src/main/java/org/apache/flink/cdc/composer/flink/FlinkEnvironmentUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/utils/ObjectUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-oracle-cdc/src/main/java/org/apache/flink/cdc/connectors/oracle/source/assigner/splitter/OracleChunkSplitter.java,3,24,4,24,1,15,2,15,0,0,0,0,57,0,1,0,2,9,2,9
FLINK-35866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35875,MySQL,5.7/8.0,Doris,2.0.1,Flink CDC,3.0.1,,Flink,1.16.2,,,崩溃故障,,2024/7/23 06:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35876,MySQL,5.7/8.0,Doris,1.18?,Flink CDC,3.1.0,,Flink,1.18.1,,,崩溃故障,,2024/7/23 07:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35889,MongoDB,3.6,,,Flink CDC,2.4.2,,Flink,1.14.6,,,逻辑故障（待复现）,数据丢失,2024/7/24 08:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35890,PostgreSQL,,,,Flink CDC,3.1.1,,Flink,,,,崩溃故障,,2024/7/24 08:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35906,PostgreSQL,14.0/15.0/16.0,,,Flink CDC,3.0.1,,Flink,,,,逻辑故障,数据变更,2024/7/28 12:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35912,SQL Server,,,,Flink CDC,3.1.0,,Flink,1.18.1,,,崩溃故障,,2024/7/29 04:05,2024/8/6 09:43,f6d1d4810af34354da262402c3871c7db3d1a414,2024-07-26T04:24:53Z,2024-08-06T09:43:09Z,2024-08-06T09:43:09Z,2024-08-06T09:43:09Z,f6d1d4810af34354da262402c3871c7db3d1a414,base;oracle-cdc-connector;sqlserver-cdc-connector;reviewed;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/assigner/splitter/JdbcSourceChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-oracle-cdc/src/main/java/org/apache/flink/cdc/connectors/oracle/source/assigner/splitter/OracleChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-sqlserver-cdc/src/main/java/org/apache/flink/cdc/connectors/sqlserver/source/dialect/SqlServerChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-sqlserver-cdc/src/main/java/org/apache/flink/cdc/connectors/sqlserver/source/utils/SqlServerTypeUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-sqlserver-cdc/src/main/java/org/apache/flink/cdc/connectors/sqlserver/source/utils/SqlServerUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-sqlserver-cdc/src/test/java/org/apache/flink/cdc/connectors/sqlserver/source/utils/SQLServerUUIDComparatorTest.java,18,2137,292,2137,7,873,138,873,7,831,99,831,70,641,7,7,4,433,55,433
FLINK-35913,,,,,Flink CDC,3.1.0,,Flink,1.18.1,,,潜在故障（告警）,,2024/7/29 04:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35917,MySQL,5.7,,,Flink CDC,3.1.1,,Flink,1.15,,,崩溃故障,,2024/7/29 08:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35936,MySQL,,,,Flink CDC,3.2.0,,Flink,1.19,,,逻辑故障,结构变化,2024/7/31 02:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35938,,,Paimon,,Flink CDC,3.1.0,3.2.0,Flink,1.18.1,,,逻辑故障,数据变更,2024/7/31 11:56,2024/8/12 02:27,3bb1f3ca45e58e4489cc7a03ef928de40895d138,2024-08-01T03:31:47Z,2024-08-12T02:45:56Z,2024-08-12T02:27:20Z,2024-08-12T02:27:19Z,3bb1f3ca45e58e4489cc7a03ef928de40895d138,paimon-pipeline-connector;reviewed;approved,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-paimon/src/main/java/org/apache/flink/cdc/connectors/paimon/sink/v2/PaimonCommitter.java,1,36,6,38,0,0,0,0,0,0,0,0,84,49,0,0,1,36,6,38
FLINK-35951,,,,,Flink CDC,3.0.0,,Flink,1.18.1,,,崩溃故障,,2024/8/1 07:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35967,,,,,Flink CDC,3.1.0,,Flink,1.18.1,,,潜在故障,,2024/8/2 10:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35971,PostgreSQL,10.23,,,Flink CDC,2.4.1,,Flink,1.14.0,,,逻辑故障（待复现）,数据变更,2024/8/4 04:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35980,,,,,Flink CDC,3.2.0,3.2.1/3.3.0,Flink,1.18.1,,,潜在故障,,2024/8/6 01:10,2024/11/7 09:58,d620c5805e264f4e9c3cc540d1ae7005bfb45808,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35981,,,,,Flink CDC,3.1.1,3.2.0,Flink,1.18.1,,,崩溃故障（待复现）,,2024/8/6 02:25,2024/8/9 16:01,84ef9d5daa78412b3f2f4dc087e8ea2e4be93b7c,2024-08-07T10:31:45Z,2024-08-09T16:01:36Z,2024-08-09T16:01:36Z,2024-08-09T16:01:36Z,84ef9d5daa78412b3f2f4dc087e8ea2e4be93b7c,runtime;reviewed;approved,flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/transform/ProjectionColumnProcessor.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/transform/TransformFilterProcessor.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/transform/PostTransformOperatorTest.java,8,555,97,555,3,226,38,226,2,114,21,114,85,577,3,2,3,215,38,215
FLINK-35983,,,,,Flink CDC,3.1.1,,Flink,1.18.1,,,潜在故障,,2024/8/6 03:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35984,,,,,Flink CDC,3.2.0,,Flink,1.18.1,,,潜在故障,,2024/8/6 05:44,2024/8/12 06:34,17d21a957a4e73648788c5abe493bf7be6b63a5b,2024-08-09T14:33:58Z,2024-08-12T06:34:11Z,2024-08-12T06:34:10Z,2024-08-12T06:34:10Z,17d21a957a4e73648788c5abe493bf7be6b63a5b,runtime;reviewed;approved,flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/transform/ProjectionColumnProcessor.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/parser/TransformParser.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/transform/UnifiedTransformOperatorTest.java,9,319,43,319,1,12,2,12,5,206,23,206,95,627,1,5,3,101,18,101
FLINK-35986,,,,,Flink CDC,3.2.0,,Flink,1.18.1,,,崩溃故障,,2024/8/6 06:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35991,,,,,Flink CDC,3.1.1,,Flink,1.18.1,,,崩溃故障,,2024/8/7 04:08,2024/8/7 04:08,2885d12f576271452c62947a7b7084e66d9be98e,2024-08-07T04:11:28Z,2024-08-12T10:39:02Z,2024-08-12T10:39:02Z,2024-08-12T10:39:02Z,104209558a30dc12d300bc23009cf59be105671c,runtime;reviewed;approved,flink-cdc-runtime/pom.xml;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/functions/BuiltInScalarFunction.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/parser/TransformParser.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/parser/metadata/TransformSqlOperatorTable.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/schema/SchemaEvolveTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/parser/TransformParserTest.java,3,85,15,89,2,32,5,32,0,0,0,0,88,485,2,0,1,53,10,57
FLINK-35995,PostgreSQL,,,,Flink CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-36005,PostgreSQL,,,,Flink CDC,3.1.1,,Flink,1.18.1,,,崩溃故障,,2024/8/8 06:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-36006,,,,,Flink CDC,3.1.1,,Flink,1.18.1,,,,,2024/8/8 07:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-36040,MySQL,,StarRocks,,Flink CDC,3.1.1,,Flink,1.18.1,,,崩溃故障（待复现）,,2024/8/13 03:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-36042,MySQL,,StarRocks,,Flink CDC,3.1.1,,Flink,1.18.1,,,逻辑故障（待复现）,结构变化,2024/8/13 03:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-36044,,,,,Flink CDC,2.4.0,,Flink,1.18.1,,,,,2024/8/13 10:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-36056,,,ElasticSearch,,Flink CDC,3.1.1,3.2.0,Flink,1.18.1,,,潜在故障,,2024/8/14 07:03,2024/8/14 10:06,ab64eb3b574ebbeb81cf6b6500acbd211eea39ab,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-36081,MySQL,,,,Flink CDC,3.1.1,3.2.0/3.3.0,Flink,1.17,,,逻辑故障（待复现）,结构变化,2024/8/18 02:00,2024/8/21 10:40,77c63385d947f3bb8e726561a7f01cd383941a96,2024-08-18T02:53:32Z,2024-08-21T02:40:18Z,2024-08-21T02:40:17Z,2024-08-21T02:40:17Z,77c63385d947f3bb8e726561a7f01cd383941a96,mysql-cdc-connector;reviewed;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/split/MySqlBinlogSplit.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/source/split/MySqlBinlogSplitTest.java,4,267,21,267,0,0,0,0,3,263,20,263,110,1170,0,3,1,4,1,4
FLINK-36082,MySQL,,Kafka,,Flink CDC,3.2.0-SNAPSHOT,3.2.0,Flink,1.18.1,,,崩溃故障,,2024/8/18 03:46,2024/8/19 21:20,0470fdbbc13a4281083488274e891a74cc8e81a8,2024-08-18T06:19:10Z,2024-08-19T13:20:01Z,2024-08-19T13:20:01Z,2024-08-19T13:20:01Z,0470fdbbc13a4281083488274e891a74cc8e81a8,kafka-pipeline-connector;reviewed;approved,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-kafka/src/main/java/org/apache/flink/cdc/connectors/kafka/sink/KafkaDataSink.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-kafka/src/main/java/org/apache/flink/cdc/connectors/kafka/sink/KafkaMetaDataApplier.java,2,92,15,92,1,55,9,55,0,0,0,0,88,25,1,0,1,37,6,37
