Bug编号,D_raw
FLINK-34883,1.0496491944152584
FLINK-35600,1.6777917471697665
FLINK-35674,1.157524185693917
FLINK-35802,1.454735591930719
FLINK-36086,1.669156006693772
FLINK-36742,1.0426494639542294
FLINK-36945,1.123642083166613
FLINK-37217,1.8684557478174173
FLINK-37453,0.9918833587654917
