Bug编号,Source数据库类型,Source数据库版本,Sink数据库类型,Sink数据库版本,首次报告时间,确认修复时间,修复 commit hash,修复周期,tool_created_at,tool_updated_at,tool_closed_at,tool_merged_at,tool_merge_commit_hash,tool_labels,tool_files_changed,tool_total_files_count,tool_people_involved_count,tool_loc_changed,tool_pr_tries_count,tool_total_comments_count,tool_total_chars,tool_total_words,tool_total_bytes,issue_comments_count,issue_comments_chars,issue_comments_words,issue_comments_bytes,review_comments_count,review_comments_chars,review_comments_words,review_comments_bytes,pr_detail_title_chars,pr_detail_body_chars,pr_detail_comments_count,pr_detail_review_comments_count,review_blocs_count,review_blocs_chars,review_blocs_words,review_blocs_bytes
FLINK-36115,MySQL,,,,2024/8/21 02:06,2024/8/22 04:39,565032e3af66677cffd8a797de9af7c9f4490f57,1d 02:33:16,2024-08-21T05:50:15Z,2024-08-23T09:50:14Z,2024-08-22T04:39:16Z,2024-08-22T04:39:16Z,565032e3af66677cffd8a797de9af7c9f4490f57,docs;mysql-pipeline-connector;reviewed;approved,docs/content.zh/docs/connectors/pipeline-connectors/mysql.md;docs/content/docs/connectors/pipeline-connectors/mysql.md;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/main/java/org/apache/flink/cdc/connectors/mysql/factory/MySqlDataSourceFactory.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/main/java/org/apache/flink/cdc/connectors/mysql/source/MySqlDataSourceOptions.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MysqlPipelineNewlyAddedTableITCase.java,5,3,150,1,6.0,515.0,64.0,517.0,1.0,82.0,16.0,82.0,4.0,429.0,47.0,431.0,94.0,68.0,1.0,4.0,1.0,4.0,1.0,4.0
FLINK-36128,Runtime,,,,2024/8/22 01:39,2024/8/26 09:46,2e938a92f5335515f7eb46077254aee25acd9107,4d 08:07:38,2024-08-25T09:26:30Z,2024-08-26T09:57:38Z,2024-08-26T09:46:38Z,2024-08-26T09:46:38Z,2e938a92f5335515f7eb46077254aee25acd9107,composer;common;runtime;cli;e2e-tests;reviewed;approved,flink-cdc-cli/src/main/java/org/apache/flink/cdc/cli/parser/YamlPipelineDefinitionParser.java;flink-cdc-cli/src/test/java/org/apache/flink/cdc/cli/parser/YamlPipelineDefinitionParserTest.java;flink-cdc-common/src/main/java/org/apache/flink/cdc/common/event/SchemaChangeEventType.java;flink-cdc-common/src/main/java/org/apache/flink/cdc/common/pipeline/PipelineOptions.java;flink-cdc-common/src/main/java/org/apache/flink/cdc/common/utils/ChangeEventUtils.java;flink-cdc-common/src/test/java/org/apache/flink/cdc/common/utils/ChangeEventUtilsTest.java;flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineComposerITCase.java;flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineTransformITCase.java;flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineUdfITCase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/MysqlE2eITCase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/SchemaEvolveE2eITCase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/SchemaEvolvingTransformE2eITCase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/TransformE2eITCase.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/schema/coordinator/SchemaRegistryRequestHandler.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/partitioning/PrePartitionOperator.java,15,2,234,1,4.0,207.0,36.0,207.0,0.0,0.0,0.0,0.0,2.0,76.0,11.0,76.0,125.0,422.0,0.0,2.0,2.0,131.0,25.0,131.0
FLINK-36148,MySQL,,,,2024/8/24 03:20,2024/8/27 07:29,3c1517f70f728e1ef8a4b6bed942d87d66d874df,3d 04:09:52,2024-08-24T03:33:07Z,2024-08-27T07:29:52Z,2024-08-27T07:29:52Z,2024-08-27T07:29:52Z,3c1517f70f728e1ef8a4b6bed942d87d66d874df,mysql-pipeline-connector;reviewed;approved,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/main/java/org/apache/flink/cdc/connectors/mysql/source/parser/CustomAlterTableParserListener.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MySqlPipelineITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MysqlPipelineNewlyAddedTableITCase.java,3,2,268,1,5.0,243.0,37.0,243.0,1.0,82.0,7.0,82.0,2.0,62.0,12.0,62.0,79.0,89.0,1.0,2.0,2.0,99.0,18.0,99.0
FLINK-36150,MySQL,,,,2024/8/25 08:33,2024/8/27 16:33,afe9c3c0adb77594565b24c004daa6385d50d5fc,2d 08:00:10,2024-08-25T09:14:36Z,2024-08-27T16:33:10Z,2024-08-27T16:33:10Z,2024-08-27T16:33:10Z,afe9c3c0adb77594565b24c004daa6385d50d5fc,mysql-cdc-connector;mysql-pipeline-connector;reviewed;approved,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/main/java/org/apache/flink/cdc/connectors/mysql/factory/MySqlDataSourceFactory.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/main/java/org/apache/flink/cdc/connectors/mysql/source/reader/MySqlPipelineRecordEmitter.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MySqlDataSourceFactoryTest.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MysqlPipelineNewlyAddedTableITCase.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/debezium/DebeziumUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/debezium/reader/BinlogSplitReader.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/schema/Selectors.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlSnapshotSplitAssigner.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/config/MySqlSourceConfig.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/config/MySqlSourceConfigFactory.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/reader/MySqlSourceReader.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/utils/TableDiscoveryUtils.java,12,2,312,1,6.0,1254.0,153.0,1254.0,1.0,234.0,22.0,234.0,4.0,942.0,116.0,942.0,119.0,180.0,1.0,4.0,1.0,78.0,15.0,78.0
FLINK-36183,Runtime,,,,2024/8/30 01:58,2024/8/30 08:03,73977c127b867a6412d176dd21323d7845a0b6fe,0d 06:05:18,2024-08-29T04:14:57Z,2024-08-30T08:03:18Z,2024-08-30T08:03:18Z,2024-08-30T08:03:18Z,73977c127b867a6412d176dd21323d7845a0b6fe,composer;runtime;e2e-tests;reviewed;approved,flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineComposerLenientITCase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/SchemaEvolveE2eITCase.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/schema/coordinator/SchemaRegistryRequestHandler.java,3,2,1172,1,1.0,43.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1297.0,0.0,0.0,1.0,43.0,6.0,43.0
FLINK-36184,Runtime,,,,2024/8/30 01:59,2024/8/30 03:41,06fc9395693a78318bc3b42b76088e6d3201b79f,0d 01:42:05,2024-08-29T09:15:43Z,2024-08-30T03:41:05Z,2024-08-30T03:41:05Z,2024-08-30T03:41:05Z,06fc9395693a78318bc3b42b76088e6d3201b79f,runtime;e2e-tests;reviewed;approved,flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/SchemaEvolveE2eITCase.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/transform/PostTransformOperator.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/transform/PreTransformOperator.java,3,2,157,1,2.0,23.0,3.0,23.0,1.0,18.0,2.0,18.0,0.0,0.0,0.0,0.0,114.0,1188.0,1.0,0.0,1.0,5.0,1.0,5.0
FLINK-36247,MySQL,,,,2024/9/10 10:08,2024/11/8 05:46,d5f1b9ace82f91bbf16aa8ec56a29b7fb0456c0b,58d 19:38:51,2024-09-10T10:27:26Z,2024-11-08T05:46:51Z,2024-11-08T05:46:51Z,2024-11-08T05:46:51Z,d5f1b9ace82f91bbf16aa8ec56a29b7fb0456c0b,mysql-cdc-connector;reviewed;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/utils/StatementUtils.java,1,3,1,1,3.0,77.0,13.0,77.0,1.0,17.0,2.0,17.0,0.0,0.0,0.0,0.0,87.0,123.0,1.0,0.0,2.0,60.0,11.0,60.0
FLINK-36282,MySQL,,,,2024/9/14 05:48,2025/1/17 02:43,bbef6213a6759b8049e2f11888ef38aaabe71cf1,124d 20:55:27,2025-01-16T11:54:58Z,2025-01-17T02:43:28Z,2025-01-17T02:43:27Z,2025-01-17T02:43:27Z,bbef6213a6759b8049e2f11888ef38aaabe71cf1,mysql-pipeline-connector;reviewed;approved,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/main/java/org/apache/flink/cdc/connectors/mysql/factory/MySqlDataSourceFactory.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MySqlDataSourceFactoryTest.java,2,3,24,1,3.0,121.0,25.0,121.0,0.0,0.0,0.0,0.0,1.0,43.0,9.0,43.0,120.0,57.0,0.0,1.0,2.0,78.0,16.0,78.0
FLINK-36285,,,Doris,,2024/9/15 09:56,2024/11/14 08:43,8e6c361f961966c25c9c34ffecdfc87cf2b599a3,59d 22:47:39,2024-11-07T01:47:04Z,2024-11-14T08:43:40Z,2024-11-14T08:43:39Z,2024-11-14T08:43:39Z,8e6c361f961966c25c9c34ffecdfc87cf2b599a3,build;doris-pipeline-connector;reviewed;approved,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/pom.xml;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/java/org/apache/flink/cdc/connectors/doris/sink/DorisMetadataApplierITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/java/org/apache/flink/cdc/connectors/doris/sink/DorisPipelineITCase.java;tools/ci/license_check.rb,4,2,56,3,2.0,57.0,9.0,59.0,1.0,21.0,3.0,21.0,0.0,0.0,0.0,0.0,84.0,269.0,1.0,0.0,1.0,36.0,6.0,38.0
FLINK-36326,MySQL,,Doris,,2024/9/19 09:56,2024/10/23 07:35,d5f549f91f1bbdb4adc218e78b1a2e4446a477e1,33d 21:39:19,2024-09-19T11:26:26Z,2024-10-23T07:35:19Z,2024-10-23T07:35:19Z,2024-10-23T07:35:19Z,d5f549f91f1bbdb4adc218e78b1a2e4446a477e1,mysql-cdc-connector;reviewed;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/enumerator/MySqlSourceEnumerator.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/source/NewlyAddedTableITCase.java,2,3,153,1,3.0,129.0,19.0,129.0,2.0,124.0,18.0,124.0,0.0,0.0,0.0,0.0,59.0,154.0,2.0,0.0,1.0,5.0,1.0,5.0
